sub_category,download_size,speciality,origin_url,download_url,topic,course,department,course_id,department_id
Earth Science,6.46 MB,Atmospheric Science,https://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-815-atmospheric-radiation-fall-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/12/12-815-fall-2006/12-815-fall-2006.zip,Science,Atmospheric Radiation,"Earth, Atmospheric, and Planetary Sciences",12-815-atmospheric-radiation-fall-2006,earth-atmospheric-and-planetary-sciences
Probability and Statistics,10.21 MB,,https://ocw.mit.edu/courses/sloan-school-of-management/15-075j-statistical-thinking-and-data-analysis-fall-2011/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/15/15-075j-fall-2011/15-075j-fall-2011.zip,Mathematics,Statistical Thinking and Data Analysis (formerly ESD.07J),Sloan School of Management,15-075j-statistical-thinking-and-data-analysis-fall-2011,sloan-school-of-management
Information Technology,16.08 MB,,https://ocw.mit.edu/courses/health-sciences-and-technology/hst-950j-biomedical-computing-fall-2010/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/HST/hst-950j-fall-2010/hst-950j-fall-2010.zip,Business,Biomedical Computing,Health Sciences and Technology,hst-950j-biomedical-computing-fall-2010,health-sciences-and-technology
Earth Science,18.60 MB,Geochemistry,https://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-746-marine-organic-geochemistry-spring-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/12/12-746-spring-2005/12-746-spring-2005.zip,Science,Marine Organic Geochemistry,"Earth, Atmospheric, and Planetary Sciences",12-746-marine-organic-geochemistry-spring-2005,earth-atmospheric-and-planetary-sciences
Applied Mathematics,14.52 MB,,https://ocw.mit.edu/courses/sloan-school-of-management/15-097-prediction-machine-learning-and-statistics-spring-2012/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/15/15-097-spring-2012/15-097-spring-2012.zip,Mathematics,Prediction: Machine Learning and Statistics,Sloan School of Management,15-097-prediction-machine-learning-and-statistics-spring-2012,sloan-school-of-management
Health Care Management,54.20 MB,,https://ocw.mit.edu/courses/health-sciences-and-technology/hst-s14-health-information-systems-to-improve-quality-of-care-in-resource-poor-settings-spring-2012/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/HST/hst-s14-spring-2012/hst-s14-spring-2012.zip,Business,Health Information Systems to Improve Quality of Care in Resource-Poor Settings,Health Sciences and Technology,hst-s14-health-information-systems-to-improve-quality-of-care-in-resource-poor-settings-spring-2012,health-sciences-and-technology
Earth Science,5.88 MB,Environmental Science,https://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-091-radon-research-in-multidisciplines-a-review-january-iap-2007/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/12/12-091-january-iap-2007/12-091-january-iap-2007.zip,Science,Radon Research in Multidisciplines: A Review,"Earth, Atmospheric, and Planetary Sciences",12-091-radon-research-in-multidisciplines-a-review-january-iap-2007,earth-atmospheric-and-planetary-sciences
Mathematical Analysis,22.58 MB,,https://ocw.mit.edu/courses/mechanical-engineering/2-993j-introduction-to-numerical-analysis-for-engineering-13-002j-spring-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/2/2-993j-spring-2005/2-993j-spring-2005.zip,Mathematics,Introduction to Numerical Analysis for Engineering (13.002J),Mechanical Engineering,2-993j-introduction-to-numerical-analysis-for-engineering-13-002j-spring-2005,mechanical-engineering
Operations Management,8.13 MB,,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-224j-carrier-systems-fall-2003/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/1/1-224j-fall-2003/1-224j-fall-2003.zip,Business,Carrier Systems,Civil and Environmental Engineering,1-224j-carrier-systems-fall-2003,civil-and-environmental-engineering
Earth Science,18.15 MB,Geochemistry,https://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-742-marine-chemistry-fall-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/12/12-742-fall-2006/12-742-fall-2006.zip,Science,Marine Chemistry,"Earth, Atmospheric, and Planetary Sciences",12-742-marine-chemistry-fall-2006,earth-atmospheric-and-planetary-sciences
Topology and Geometry,6.64 MB,,https://ocw.mit.edu/courses/mechanical-engineering/2-158j-computational-geometry-spring-2003/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/2/2-158j-spring-2003/2-158j-spring-2003.zip,Mathematics,Computational Geometry,Mechanical Engineering,2-158j-computational-geometry-spring-2003,mechanical-engineering
Supply Chain Management,3.35 MB,,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-46-strategic-management-in-the-design-and-construction-value-chain-fall-2003/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/1/1-46-fall-2003/1-46-fall-2003.zip,Business,Strategic Management in the Design and Construction Value Chain,Civil and Environmental Engineering,1-46-strategic-management-in-the-design-and-construction-value-chain-fall-2003,civil-and-environmental-engineering
Earth Science,7.40 MB,Geology,https://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-520-geodynamics-fall-2006/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/12/12-520-fall-2006/12-520-fall-2006.zip,Science,Geodynamics,"Earth, Atmospheric, and Planetary Sciences",12-520-geodynamics-fall-2006,earth-atmospheric-and-planetary-sciences
